Моисеев Силантий Федосеевич;Кострома;алл. Мельничная, д. 6/5 стр. 9;Банковский холдинг Альфа-банка;Мануалист;8 648 809 9985;ilarion_1974@mail.ru;2004-04-07;139865
Вероника Кузьминична Давыдова;Аша;наб. Мельничная, д. 8/9 стр. 100;Байер;Маляр;8 (170) 963-2675;svetlana_1992@gmail.com;1960-02-09;181696
Турова Анжела Владиславовна;Бугуруслан;наб. Толстого, д. 4;Тева (Teva);Онколог;8 302 942 02 11;saveli_19@yahoo.com;1959-05-03;99081
Елизавета Антоновна Белова;Шуя;наб. Ростовская, д. 956;АХ Степь;Гомеопат;+7 (952) 639-3539;fortunatfadeev@hotmail.com;1952-07-01;173507
Антонов Ипполит Ефремович;Шатура;наб. Вахитова, д. 7 к. 44;МАКС;Учитель;8 194 426 70 08;davidhohlov@yandex.ru;1971-09-07;82023
Шашков Прокофий Фокич;Йошкар-Ола;алл. Фрунзе, д. 6/9 стр. 6;Морской терминал Тамань;Химик;+7 545 057 84 81;udenisov@yahoo.com;1985-05-21;182128
Ангелина Кирилловна Филатова;Данков;пр. Гражданский, д. 6/2 к. 6/9;Салым Петролеум;Каптенармус;+76743947404;avdeevcheslav@yahoo.com;1984-12-26;140342
г-жа Панова Евфросиния Афанасьевна;Сладково;ш. Колхозное, д. 2/9 стр. 52;Астон;Златокузнец;+77952045723;kira_1986@yahoo.com;1971-03-30;155661
Зинаида Филипповна Богданова;Охотск;алл. Космонавтов, д. 4 стр. 80;Сибирская сервисная компания;Прозектор;8 766 424 6964;agata_10@yandex.ru;1993-11-26;177355
Никон Фёдорович Вишняков;Жигулевск;бул. Чкалова, д. 790 стр. 79;Алкоторг;Программист;8 189 972 00 60;dlobanov@rambler.ru;1956-05-06;174832
Александра Вениаминовна Ефимова;Краснодар;алл. Смоленская, д. 720 к. 75;Inventive Retail Group;Гример;+7 451 050 8246;svetozar_2018@yahoo.com;1952-11-17;21969
Зимина Лукия Аскольдовна;Анапа;бул. Зои Космодемьянской, д. 60;ГК Российские коммунальные системы;Иконописец;+7 741 241 9237;dmitrievaregina@hotmail.com;1954-06-25;58081
Георгий Гавриилович Капустин;Лагань;наб. Рабочая, д. 347;Корпорация Тактическое ракетное вооружение;Переводчик;+7 (670) 278-5329;galaktion1973@yahoo.com;1960-09-27;35119
Лаврентьев Михаил Федосеевич;Нижнеудинск;алл. Мичурина, д. 6;Банк Уралсиб;Военнослужащий;83323637114;milan_12@yahoo.com;1971-03-22;134657
Филатова Марфа Кузьминична;Кашира;наб. Суворова, д. 8 к. 4;Компания Металл Профиль;Кабельщик;8 (066) 500-7258;gavrila1986@yandex.ru;1956-09-04;102221
Тарас Георгиевич Афанасьев;Курильск;ш. Поперечное, д. 1 стр. 9/6;Фармимэкс;Сомелье;+7 273 890 8954;kiselevstepan@mail.ru;2002-04-07;70668
Казакова Евгения Романовна;Кимры;ш. Воровского, д. 602;Квадра;Орнитолог;+78824310266;vinogradovsamson@yahoo.com;2000-08-09;47342
г-н Жданов Януарий Бориславович;Егорьевск;пер. Флотский, д. 61 к. 74;ГК ЕКС;Актёр;87955888500;zhdanovmilan@hotmail.com;1984-03-02;128247
Пестова Майя Святославовна;Чебоксары;алл. Чайкиной, д. 8;Яндекс;Нотариус;+7 072 623 5928;melnikovserge@rambler.ru;1955-02-03;82381
